#,Project,Tracker,Status,Priority,Subject,Assignee,Updated
2597,User Interface,Bug,New,Normal,Rows are quirky committed on insert-row() call.,"",06/26/2015 06:19 AM
3124,User Interface,Bug,New,Normal,Various ChUI menu issues,"",06/08/2016 10:16 AM
1984,Base Language,Feature,New,Normal,"make methods to act as ""read-only"" attributes","",04/12/2013 06:02 AM
2866,Harness,Feature,New,Normal,implement text comparison support,"",11/20/2015 09:28 AM
2868,Harness,Feature,New,Normal,enhance or extend key input processing to match GUI program input needs,"",11/20/2015 09:27 AM
3023,User Interface,Bug,New,Normal,error when frame initialization fails,"",03/09/2016 09:17 AM
3247,Conversion Tools,Feature,New,Normal,need for different configuration values for different parts of a conversion project ,"",02/10/2017 02:07 PM
2993,Runtime Infrastructure,Support,New,Normal,penetration testing: non-priviledged local user scenario,"",02/11/2016 09:57 AM
3241,Database,Bug,New,Normal,schema conversion only allows _user table in one schema,"",02/06/2017 02:00 PM
2693,Runtime Infrastructure,Bug,New,Normal,terminating the server is broken (using ServerDriver -k),"",11/16/2016 12:23 PM
2735,User Interface,Bug,New,Normal,fix WindowGuiImpl.truncateWindowHeightQuirk(),"",09/23/2015 03:34 PM
2326,Database,Bug,New,Normal,Reference to the extent value of a field is emitted as a constant ,"",07/02/2014 06:20 AM
1909,Bugs,Bug,New,Normal,error initializing the MultiClassLoader when a jar in the class path does not exist,"",11/05/2012 05:50 AM
3233,User Interface,Bug,New,Normal,button accelerators do not work,"",01/31/2017 07:52 PM
2946,Database,Bug,New,Normal,SESSION:FIRST-BUFFER buffer order is wrong,"",01/06/2016 01:48 PM
3251,Base Language,Bug,New,Normal,implement safe and secure processing of procedure manager parameters when up-called from javascript,"",02/22/2017 08:03 AM
2152,Bugs,Bug,New,Normal,"server-to-sever connection problem (CTRL-C 3-way test fails on devsrv01, when ran from ant)","",05/23/2013 07:10 AM
3252,User Interface,Bug,New,Normal,incorrect cursor position in password fill-ins,"",03/02/2017 11:25 AM
3259,User Interface,Feature,New,Normal,add useful web components that can be easily integrated into the embedded web client,"",03/07/2017 12:52 PM
1706,Bugs,Bug,New,Normal,temp-table buffer scoping,"",04/21/2016 08:51 AM
1865,Core Development,Support,New,Normal,create the training materials for the Developer 2 class,"",11/16/2016 01:31 PM
2690,User Interface,Bug,New,Normal,ChUI quirk when sub-menu doesn't have any children,"",09/08/2015 04:11 AM
3245,User Interface,Bug,New,Normal,move-before-tab-item and move-after-tab-item must not affect the z-order,"",02/07/2017 03:15 PM
2927,User Interface,Feature,New,Normal,add I18N features to the default popup menu for editable widgets,"",12/12/2015 06:42 AM
2869,Harness,Feature,New,Normal,add mouse input event support,"",11/20/2015 09:27 AM
1707,Bugs,Bug,New,Normal,FOR retry issues,"",10/29/2012 08:46 AM
2688,Base Language,Bug,New,Normal,eliminate differences in the http header and xml content of the web services implementation,"",09/04/2015 05:05 PM
2611,User Interface,Bug,New,Normal,problems in UNDERLINE support for ChUI - stream/redirected mode,"",07/22/2015 03:42 PM
1708,Bugs,Bug,New,Normal,charva/awt/ScreenBitmap.java cleanup,"",10/29/2012 08:48 AM
1709,Bugs,Bug,New,Normal,"""can't operate on a closed statement error"" in log","",10/29/2012 08:50 AM
1724,Conversion Tools,Feature,New,Normal,"replace ""new FieldReference(dmo, propertyName)"" in business logic with less verbose alternative","",11/16/2016 12:46 PM
2223,Database,Bug,New,Normal,ASSIGN schema triggers without reference to database fields,"",11/16/2016 01:16 PM
2386,Base Language,Bug,New,Normal,STRING(memptr_var) will render the contents of the memptr as a null terminated string,"",09/08/2014 02:07 PM
4617,User Interface,Bug,New,Normal,Number of GUI frames in default window differs from 4GL,"",04/17/2020 10:32 AM
1675,Conversion Tools,Feature,New,Normal,"remove unreferenced streams, frames, buffers, temp-tables","",11/16/2016 12:46 PM
1676,Conversion Tools,Feature,New,Normal,remove conditional expressions that always evaluate true or false,"",11/16/2016 12:46 PM
8212,Database,Bug,New,Normal,FILL operations do not work correctly with active dataset relations,"",01/23/2024 02:08 PM
1677,Conversion Tools,Feature,New,Normal,deeper analysis of IF/CASE and other condition expressions,"",11/16/2016 12:46 PM
1589,Conversion Tools,Bug,New,Normal,during parsing the .lexer file is sometimes arbitrarily truncated,"",10/12/2012 04:29 PM
1534,Harness,Feature,New,Normal,expand support for variable references,"",09/18/2012 03:45 PM
1725,Conversion Tools,Feature,New,Normal,replace unnecessary use of FieldReference in message and messageBox calls,"",11/16/2016 12:46 PM
2336,Database,Bug,New,Normal,TABLE-HANDLE FOR parameters for internal procedures,"",07/09/2014 05:08 PM
1535,Harness,Feature,New,Normal,add read-screen-rect directive,"",09/18/2012 03:54 PM
1894,Runtime Infrastructure,Feature,New,Normal,move the file_sys.xml configuration into name_map.xml,"",11/16/2016 01:08 PM
2895,User Interface,Bug,New,Normal,Implement separate COLUMN-LABEL annotations for similair temp tables,"",12/01/2015 05:50 PM
2890,User Interface,Bug,New,Normal,Incompatible ON ENTRY trigger activation,"",12/01/2015 09:28 AM
1904,Conversion Tools,Feature,New,Normal,update the chemtutor build.xml to handle conversion on Windows,"",11/16/2016 01:16 PM
5564,User Interface,Bug,New,Normal,Prevent unnecessary triggers to destroyed widgets,"",07/27/2021 01:25 PM
1727,Conversion Tools,Feature,New,Normal,detect constant variables and rewrite as final statics (non-shared vars only),"",11/16/2016 12:46 PM
2225,Base Language,Feature,New,Normal,implement ssl and async realted  connection options  for web services,"",01/10/2014 09:00 AM
1678,Conversion Tools,Feature,New,Normal,rollup/simplify/remove dead code usually caused by preprocessor substitutions,"",11/16/2016 12:47 PM
1908,Conversion Tools,Support,New,Normal,update documentation for Windows conversion,"",11/16/2016 01:16 PM
1853,Base Language,Support,New,Normal,update the base language portions of the Conversion Reference,"",11/16/2016 01:31 PM
1710,Bugs,Bug,New,Normal,issues related to ALERT-BOX'es,"",10/29/2012 09:07 AM
3045,Bugs,Bug,New,Normal,Clean up localedef warnings for en_US@p2j_basic locale,"",03/30/2016 12:48 PM
1854,Database,Support,New,Normal,update the DB portions of the Conversion Reference,"",11/16/2016 01:31 PM
2106,Base Language,Bug,New,Normal,Missing runtime error messages in P2J,"",04/03/2013 06:08 AM
2241,User Interface,Bug,New,Normal,Uncompilable code is generated when PFCOLOR option is used with DEFINE VARIABLE,"",02/11/2014 01:54 PM
3000,User Interface,Feature,New,Normal,implement the SLIDER widget in ChUI,"",02/19/2016 11:55 AM
1519,Conversion Tools,Feature,New,Normal,report improvements,"",11/16/2016 01:34 PM
1680,Conversion Tools,Feature,New,Normal,"convert ""for each foo: delete foo. end."" into a simpler form","",11/16/2016 12:46 PM
1728,Conversion Tools,Feature,New,Normal,better analysis of function parameters to avoid emitting unnecessary code in business logic,"",11/16/2016 12:46 PM
1738,Conversion Tools,Feature,New,Normal,provide configurable control over code formatting,"",11/11/2019 03:32 PM
1736,Conversion Tools,Feature,New,Normal,explore possibility of super procedures via Java inheritance,"",11/16/2016 12:46 PM
1737,Conversion Tools,Feature,New,Normal,eliminate/consolidate schema tables where possible,"",11/16/2016 12:46 PM
1515,Conversion Tools,Feature,New,Normal,implement gap analysis views in all reports,"",01/17/2017 11:23 AM
1927,Bugs,Bug,New,Normal,The Exception raising - org.hibernate.NonUniqueObjectException: a different object with the same identifier value was already associated with the session,"",12/12/2012 02:37 PM
1730,Conversion Tools,Feature,New,Normal,implement macro pattern matching,"",11/16/2016 12:47 PM
1537,Harness,Feature,New,Normal,allow access to named semaphores from inside run-code directives,"",09/18/2012 05:18 PM
1538,Harness,Feature,New,Normal,allow read-only access to the SessionSettings instance from inside the run-code directive,"",09/18/2012 05:20 PM
1733,Conversion Tools,Feature,New,Normal,refactor/reuse validation expressions,"",11/16/2016 12:47 PM
2624,User Interface,Bug,New,Normal,window clear at procedure end,"",11/16/2016 12:23 PM
1996,Runtime Infrastructure,Feature,New,Normal,use generics to simplify the Resolvable class hierarchy,"",11/16/2016 01:21 PM
1681,Conversion Tools,Feature,New,Normal,"convert ""for each foo: i = i + 1. end."" to something like RecordBuffer.count(fooDMO)","",11/16/2016 12:46 PM
1682,Conversion Tools,Feature,New,Normal,IF/ELSE unreachable processing needs to promote THEN/ELSE child nodes into enclosing block,"",11/16/2016 12:46 PM
9874,User Interface,Bug,New,Normal,Incorrect TAB and BACKTAB handling in FILL-IN with no other tab stops,"",04/04/2025 01:47 PM
1684,Conversion Tools,Feature,New,Normal,variable definitions made in unreachable code actually still exist and can be used in Progress code,"",11/16/2016 12:46 PM
1685,Conversion Tools,Feature,New,Normal,log all dead/unreachable code decisions,"",11/16/2016 12:46 PM
2800,User Interface,Feature,New,Normal,implement GUI support for CHOOSE,"",08/11/2017 12:07 PM
2111,Conversion Tools,Feature,New,Normal,"improve handling of comments that are related to each other (""sets"" of comments)","",11/16/2016 12:46 PM
2112,Conversion Tools,Feature,New,Normal,blank lines before and/or after a comment should result in spacers in the converted code,"",11/16/2016 12:46 PM
2902,User Interface,Bug,New,Normal,demo/demo_widgets.p top frame is made scrollable (height is incorrect?),"",11/16/2016 12:23 PM
2920,User Interface,Bug,New,Normal,fix fill-in caret color when background is not white,"",11/16/2016 12:23 PM
9808,User Interface,Bug,New,Normal,Incorrect screen value for datetime / datetime-tz,"",03/19/2025 07:44 AM
2105,Base Language,Bug,New,Normal,BlockManager does not return some datatypes correctly,"",04/12/2013 06:04 AM
3689,User Interface,Bug,New,Normal,In Web GUI when a window is maximized the title bar buttons stop accepting mouse input,"",08/15/2018 04:12 PM
1689,Bugs,Bug,New,Normal,browse drawing with no display column and query clauses,"",03/23/2016 05:23 PM
7,Bugs,Bug,New,Normal,misconversion of multi-table FOR/REPEAT/DO with UNIQUE component,"",10/03/2011 12:00 PM
